;RegionName;Stations;AvgPricePerMeter
 1;Остоженка;Кропоткинская , Парк культуры;529090
 2;Арбат;Александровский сад , Арбатская , Библиотека имени Ленина , Боровицкая , Смоленская;501713
 3;Центр Москвы;Китай-город , Кузнецкий мост , Лубянка , Охотный ряд , Площадь Революции , Театральная;485897
 4;Якиманка;Новокузнецкая , Полянка , Третьяковская;473194
 5;Тверской;Маяковская , Пушкинская , Тверская , Чеховская;463991
 6;Хамовники;Лужники , Спортивная , Фрунзенская;450232
 7;Пресненский;Баррикадная , Выставочная , Деловой центр , Краснопресненская , Международная , Улица 1905 года , Тестовская;416675
 8;Замоскворечье;Добрынинская , Октябрьская , Павелецкая , Серпуховская;411098
 9;Таганский;Курская , Марксистская , Таганская , Чкаловская;393615
10;Красносельский;Комсомольская , Красные ворота , Сретенский бульвар , Тургеневская , Чистые пруды;390425
11;Мещанский;Достоевская , Проспект Мира , Сухаревская , Трубная , Цветной бульвар;387333
12;Дорогомилово;Киевская , Кутузовская , Парк Победы , Студенческая;378625
13;Беговой;Белорусская;372085
14;Донской;Ленинский проспект , Площадь Гагарина , Шаболовская;362987
15;Гагаринский , Ломоносовский , Раменки;Воробьевы горы , Ломоносовский проспект , Раменки , Университет;361623
16;Аэропорт;Динамо , Петровский парк;339941
17;Басманный;Бауманская;338732
18;Проспект Вернадского;Проспект Вернадского;338691
19;Хорошевский;Беговая , Полежаевская , Хорошево , Хорошевская , ЦСКА;333878
20;Филевский парк;Багратионовская , Минская , Пионерская , Славянский бульвар , Филевский парк , Фили , Шелепиха , матвеевская;330436
21;Аэропорт , Сокол;Аэропорт , Сокол, Красный балтиец;327982
22;Марьина роща , Савеловский;Марьина роща , Менделеевская , Новослободская , Савеловская;325099
23;Алексеевский;Алексеевская , Рижская;323097
24;Черемушки;Новые Черемушки , Профсоюзная , Новаторская;313375
25;Сокольники;Красносельская , Сокольники;312526
26;Академический;Академическая;312066
27;Хорошево-Мневники;Зорге , Мневники , Народное Ополчение , Октябрьское поле , Панфиловская;310076
28;Южнопортовый;Автозаводская , Дубровка , ЗИЛ , Кожуховская , Технопарк , Угрешская;304219
29;Нижегородский;Волгоградский проспект , Крестьянская застава , Нижегородская , Новохохловская , Площадь Ильича , Пролетарская , Римская, Москва-Товарная, калитники;296141
30;Крылатское;Крылатское , Терехово;292768
31;Покровское-Стрешнево , Щукино;Спартак , Тушинская , Щукинская;289051
32;Очаково-Матвеевское;Мичуринский проспект , Озерная,  Давыдково , Аминьевская, Сетунь , рабочий поселок , сколково , немчиновка , очаково;287245
33;Даниловский , Котловка;Верхние Котлы , Крымская , Нагатинская , Нагорная , Тульская;286453
34;Тропарево-Никулино;Тропарево , Юго-Западная;286441
35;Можайский , Фили-Давыдково;Кунцевская;285778
36;Кунцево;Молодежная;285225
37;Останкинский , Ростокино;ВДНХ , Ростокино , выставочный центр , улица академика королева;281866
38;Бутырский , Тимирязевский;Бутырская , Дмитровская , Тимирязевская , Фонвизинская , гражданская;280747
39;Головинский;Водный стадион;278393
40;Соколиная гора;Измайлово , Измайловский парк , Партизанская , Семеновская , Электрозаводская;278266
41;Строгино;Строгино;275350
42;Преображенское;Преображенская площадь;272963
43;Нагатино-Садовники , Нагатинский Затон;Кленовый бульвар , Коломенская , Нагатинский затон , москворечье;272606
44;Войковский , Коптево;Балтийская , Войковская , Коптево , Стрешнево;271685
45;Зюзино , Нагорный;Варшавская , Каховская , Нахимовский проспект , Севастопольская, Воронцовская, Зюзино;270933
46;Коньково , Обручевский;Беляево , Калужская , Коньково;270285
47;Свиблово;Ботанический сад , Свиблово;270002
48;Левобережный , Ховрино;Беломорская , Речной вокзал , Ховрино;261861
49;Лефортово;Авиамоторная , Андроновка , Лефортово , Соколиная Гора , Шоссе Энтузиастов;260868
51;Чертаново Северное , Чертаново Центральное;Чертановская , Южная, Битца, Щербинка , покровское , красный строитель;253344
52;Северное Тушино , Южное Тушино;Планерная , Сходненская;250636
53;Марфино;Владыкино , Лихоборы , Окружная , Петровско-Разумовская;249915
54;Бабушкинский , Южное Медведково;Бабушкинская;248211
55;Печатники;Печатники;247447
56;Кузьминки , Текстильщики;Кузьминки , Текстильщики;245196
57;Богородское , Метрогородок;Белокаменная , Бульвар Рокоссовского , Локомотив , Улица Подбельского , Черкизовская;244702
58;Восточное Измайлово , Измайлово;Измайловская , Первомайская;243798
59;Бескудниковский , Восточное Дегунино , Дмитровский , Западное Дегунино , Северный;Верхние Лихоборы , Селигерская , Бескудниково , дегунино;243417
60;Северное Медведково;Медведково;240984
61;Солнцево;Говорово , Румянцево , Солнцево;238667
62;Митино;Волоколамская , Митино , Мякинино , Пятницкое шоссе, Павшино, Опалиха, Красногорская, Пенягино, трикотажная , аникеевка , нахабино;237908
63;Перово;Перово;237867
64;Ясенево;Битцевский парк , Новоясеневская , Ясенево;237761
65;Теплый Стан;Теплый Стан;237160
66;Москворечье-Сабурово , Царицыно;Кантемировская , Каширская , Царицыно;236562
67;Чертаново Южное;Аннино , Пражская , Улица академика Янгеля;236267
68;Рязанский;Окская , Рязанский проспект , Стахановская;234393
69;Отрадное;Отрадное;233664
70;Орехово-Борисово Северное , Орехово-Борисово Южное;Домодедовская , Орехово;231617
71;Алтуфьевский , Бибирево;Бибирево;230896
72;Северное Бутово;Бульвар Дмитрия Донского , Лесопарковая , Улица Старокачаловская;230662
73;Капотня , Марьино;Братиславская , Марьино , курьяново;230158
74;Братеево , Зябликово;Алма-Атинская , Борисово , Зябликово , Красногвардейская , Шипиловская;229601
75;Лианозово;Алтуфьево, лианозово , яхромская , новодачная , физтех;229064
76;Внуково , Ново-Переделкино;Боровское шоссе , Новопеределкино , Рассказовка , Саларьево , Филатов луг, аэропорт внуково , пыхтино , санино;227487
77;Гольяново , Северное Измайлово;Щелковская;225634
79;Люблино;Волжская , Люблино , Депо, Перерва;224861
80;Ивановское , Новогиреево;Новогиреево;220162
81;Вешняки , Выхино-Жулебино;Выхино , Юго-Восточная , вешняки;217405
82;Восточный , Новокосино;Новокосино;215464
83;Южное Бутово;Бульвар адмирала Ушакова , Бунинская аллея , Коммунарка , Ольховая , Прокшино , Улица Горчакова ,  Улица Скобелевская , бутово , остафьево;209712
85;Жулебино , Кожухово , Косино-Ухтомский , Некрасовка;Жулебино , Косино , Котельники , Лермонтовский проспект , Лухмановская , Некрасовка , Улица Дмитриевского;203458
86;Зеленоград; зеленоград — крюково , силикатная , новоподрезково , подольск , хлебниково , долгопрудная; 194309